date_added,duration
"September 9, 2019",90
"September 8, 2017",99
"September 8, 2017",110
"September 8, 2017",60
"September 8, 2017",90
"September 8, 2017",95
"September 8, 2017",135
"September 8, 2017",98
"September 8, 2017",96
"September 8, 2017",113
"September 8, 2017",90
"September 8, 2015",80
"September 7, 2018",112
"September 7, 2018",106
"September 7, 2018",106
"September 7, 2018",102
"September 7, 2017",114
"September 6, 2019",125
"September 6, 2019",133
"September 6, 2018",86
"September 6, 2018",146
"September 6, 2017",79
"September 6, 2016",102
"September 5, 2018",122
"September 5, 2018",126
"September 5, 2018",116
"September 5, 2018",135
"September 5, 2018",125
"September 5, 2018",96
"September 5, 2018",130
"September 5, 2017",98
"September 5, 2017",70
"September 4, 2019",128
"September 4, 2019",88
"September 4, 2019",108
"September 4, 2019",93
"September 4, 2018",135
"September 4, 2018",88
"September 30, 2019",64
"September 30, 2018",107
"September 30, 2017",130
"September 3, 2018",96
"September 29, 2018",112
"September 29, 2018",111
"September 29, 2017",103
"September 29, 2017",103
"September 29, 2015",72
"September 28, 2019",89
"September 28, 2018",126
"September 28, 2018",130
"September 28, 2018",126
"September 28, 2018",127
"September 28, 2018",108
"September 28, 2018",163
"September 27, 2019",102
"September 27, 2019",116
"September 27, 2018",95
"September 27, 2017",104
"September 27, 2011",75
"September 26, 2019",133
"September 26, 2019",108
"September 26, 2018",103
"September 26, 2017",82
"September 26, 2017",94
"September 25, 2019",97
"September 25, 2019",89
"September 25, 2019",146
"September 25, 2019",146
"September 25, 2019",130
"September 25, 2018",110
"September 25, 2017",91
"September 24, 2019",106
"September 24, 2019",58
"September 24, 2018",111
"September 24, 2017",112
"September 24, 2017",102
"September 23, 2019",152
"September 23, 2019",87
"September 23, 2016",78
"September 22, 2019",121
"September 22, 2018",91
"September 22, 2018",101
"September 22, 2017",101
"September 22, 2017",119
"September 22, 2015",83
"September 21, 2019",182
"September 21, 2019",106
"September 21, 2019",102
"September 21, 2019",98
"September 21, 2018",124
"September 20, 2019",83
"September 20, 2019",82
"September 20, 2019",111
"September 20, 2018",102
"September 20, 2016",87
"September 2, 2017",116
"September 2, 2017",139
"September 2, 2017",101
"September 2, 2015",130
"September 19, 2019",171
"September 19, 2019",84
"September 19, 2018",112
"September 19, 2017",62
"September 18, 2019",112
"September 18, 2018",103
"September 18, 2017",64
"September 18, 2015",82
"September 17, 2019",80
"September 17, 2019",88
"September 17, 2019",124
"September 17, 2019",104
"September 17, 2019",76
"September 17, 2018",92
"September 16, 2019",91
"September 16, 2018",93
"September 16, 2018",112
"September 16, 2016",89
"September 16, 2016",60
"September 15, 2019",64
"September 15, 2019",94
"September 15, 2019",86
"September 15, 2018",113
"September 15, 2018",92
"September 15, 2018",153
"September 15, 2018",111
"September 15, 2018",141
"September 15, 2018",128
"September 15, 2018",117
"September 15, 2018",100
"September 15, 2018",112
"September 15, 2018",110
"September 15, 2017",137
"September 15, 2017",108
"September 15, 2017",132
"September 15, 2017",87
"September 15, 2017",92
"September 15, 2016",91
"September 15, 2016",83
"September 15, 2015",90
"September 14, 2019",157
"September 14, 2019",83
"September 14, 2019",95
"September 14, 2018",107
"September 14, 2018",109
"September 14, 2018",100
"September 14, 2018",114
"September 14, 2018",98
"September 13, 2019",106
"September 13, 2019",87
"September 13, 2019",90
"September 13, 2019",65
"September 13, 2019",105
"September 13, 2019",107
"September 13, 2019",103
"September 13, 2019",88
"September 13, 2017",78
"September 12, 2019",96
"September 12, 2018",100
"September 12, 2017",71
"September 11, 2018",123
"September 11, 2017",89
"September 10, 2019",67
"September 10, 2019",140
