genre,count
"Dramas, International Movies",237
Stand-Up Comedy,234
"Dramas, Independent Movies, International Movies",184
"Comedies, Dramas, International Movies",168
Documentaries,136
"Children & Family Movies, Comedies",118
"Comedies, International Movies",110
"Dramas, International Movies, Romantic Movies",103
"Action & Adventure, Dramas, International Movies",99
"Comedies, International Movies, Romantic Movies",93
"Dramas, International Movies, Thrillers",90
Children & Family Movies,90
Dramas,85
"Comedies, Dramas, Independent Movies",75
"Action & Adventure, International Movies",73
Comedies,68
Action & Adventure,68
"Dramas, Independent Movies",68
"Action & Adventure, Comedies, International Movies",55
"Documentaries, International Movies",54
"Dramas, Thrillers",54
"Action & Adventure, Sci-Fi & Fantasy",49
"Horror Movies, International Movies",47
"Comedies, Romantic Movies",43
"Dramas, International Movies, Music & Musicals",42
"Horror Movies, Thrillers",41
Thrillers,40
Horror Movies,39
"Comedies, International Movies, Music & Musicals",38
"International Movies, Thrillers",36
"Documentaries, Music & Musicals",34
"Action & Adventure, Comedies",30
"Documentaries, Sports Movies",27
"Horror Movies, International Movies, Thrillers",26
"Action & Adventure, Anime Features, International Movies",25
"Dramas, Romantic Movies",25
"Action & Adventure, Dramas",23
Movies,20
"Comedies, Dramas",19
"Comedies, Independent Movies",18
"Dramas, International Movies, Sports Movies",18
"Dramas, Independent Movies, Thrillers",17
"Action & Adventure, Comedies, Dramas",17
"Comedies, Independent Movies, International Movies",16
"Children & Family Movies, Dramas",16
"International Movies, Romantic Movies",15
"Horror Movies, Independent Movies",15
"Documentaries, International Movies, Sports Movies",14
"Dramas, Independent Movies, LGBTQ Movies",14
"Dramas, Independent Movies, Romantic Movies",14
"Action & Adventure, International Movies, Sci-Fi & Fantasy",14
"Dramas, Sports Movies",14
"Horror Movies, Independent Movies, Thrillers",13
"Dramas, International Movies, Sci-Fi & Fantasy",11
"Children & Family Movies, Music & Musicals",11
"Comedies, Horror Movies, International Movies",11
"Dramas, Faith & Spirituality",11
"Independent Movies, Thrillers",11
"Action & Adventure, Dramas, Independent Movies",11
"Comedies, Cult Movies",10
"Action & Adventure, International Movies, Music & Musicals",10
"Documentaries, International Movies, Music & Musicals",10
"Sci-Fi & Fantasy, Thrillers",9
