genre,count
"Crime TV Shows, International TV Shows, TV Dramas",8
"Anime Series, International TV Shows",5
"International TV Shows, Korean TV Shows, Romantic TV Shows",5
"International TV Shows, TV Comedies, TV Dramas",4
"Stand-Up Comedy & Talk Shows, TV Comedies",4
TV Shows,4
"Kids' TV, TV Comedies",4
Docuseries,3
Kids' TV,3
"British TV Shows, Docuseries, International TV Shows",3
"British TV Shows, Crime TV Shows, TV Dramas",3
"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",2
"British TV Shows, International TV Shows, TV Action & Adventure",2
"International TV Shows, TV Dramas, TV Thrillers",2
"TV Action & Adventure, TV Sci-Fi & Fantasy",2
"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2
"International TV Shows, TV Dramas, TV Mysteries",2
"International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows",2
"British TV Shows, International TV Shows, Stand-Up Comedy & Talk Shows",1
"Classic & Cult TV, TV Action & Adventure, TV Horror",1
"TV Comedies, TV Dramas",1
"TV Dramas, TV Sci-Fi & Fantasy",1
"TV Horror, TV Mysteries, TV Thrillers",1
"Crime TV Shows, International TV Shows, Korean TV Shows",1
"Anime Series, Kids' TV",1
"International TV Shows, TV Dramas",1
"Crime TV Shows, TV Action & Adventure",1
"Crime TV Shows, International TV Shows, TV Action & Adventure",1
"British TV Shows, Crime TV Shows, International TV Shows",1
"International TV Shows, Romantic TV Shows, TV Comedies",1
"Docuseries, Science & Nature TV, TV Dramas",1
"International TV Shows, Romantic TV Shows, TV Dramas",1
"British TV Shows, TV Comedies",1
"Crime TV Shows, TV Dramas, TV Mysteries",1
"International TV Shows, Korean TV Shows, TV Action & Adventure",1
"British TV Shows, Classic & Cult TV, TV Comedies",1
"Crime TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy",1
"Crime TV Shows, Romantic TV Shows, TV Dramas",1
TV Comedies,1
"British TV Shows, TV Dramas, TV Sci-Fi & Fantasy",1
"British TV Shows, Kids' TV",1
"Anime Series, International TV Shows, TV Horror",1
Stand-Up Comedy & Talk Shows,1
"International TV Shows, TV Dramas, TV Horror",1
"Crime TV Shows, TV Action & Adventure, TV Dramas",1
"British TV Shows, Docuseries",1
"Crime TV Shows, Docuseries",1
"International TV Shows, TV Dramas, Teen TV Shows",1
"British TV Shows, Reality TV",1
"British TV Shows, International TV Shows, TV Dramas",1
"International TV Shows, Korean TV Shows, TV Dramas",1
"Crime TV Shows, Romantic TV Shows, Spanish-Language TV Shows",1
"Kids' TV, TV Action & Adventure",1
"Anime Series, Romantic TV Shows, Teen TV Shows",1
